country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy,latitude,longitude
Colombia,1810-07-20,Friday,20.0,Jul,Independence Day,July 20,1810.0,Spanish Empire,Colombian Declaration of Independence,1810.0,"July 20, 1810",,
Comoros,1975-07-06,Sunday,6.0,Jul,Independence Day,July 6,1975.0,France,Unilateral declaration of independence by the Chamber of Deputies of Comoros following the 1974 Comorian independence referendum[41],1975.0,"July 6, 1975",,
"Congo, Democratic Republic of the",1960-06-30,Thursday,30.0,Jun,Independence Day,June 30,1960.0,Belgium,"Effective date of the Treaty of Friendship, Assistance and Co-operation between Belgium and the Congo concluded on June 29, 1960[42]",1960.0,"June 30, 1960",,
"Congo, Republic of the",1960-08-15,Monday,15.0,Aug,Independence Day,August 15,1960.0,France,Effective date of the agreement with France signed on July 12.[18],1960.0,"August 15, 1960",,
Costa Rica,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",,
Cyprus,1960-10-01,Saturday,1.0,Oct,Independence Day,October 1,1960.0,United Kingdom,"Effective date of the London-Zürich Agreements was August 16, 1960, but the public holiday was moved to October 1 to avoid summer heat and tourist season.[50]",1960.0,"October 1, 1960",,
Czech Republic,1918-10-28,Monday,28.0,Oct,Independence Day,October 28,1918.0,Austria-Hungary,Independence declaration by the Czechoslovak National Council[51],1918.0,"October 28, 1918",,
Ecuador,1809-08-10,Thursday,10.0,Aug,Independence Day,August 10,1809.0,Spanish Empire,"Proclaimed independence on August 10, 1809, but failed with the execution of all the conspirators of the movement on August 2, 1810.",1809.0,"August 10, 1809",,
El Salvador,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",,
Estonia,1918-02-24,Sunday,24.0,Feb,Independence Day,February 24,1918.0,Russian Soviet Federative Socialist Republic,Estonian Declaration of Independence,1918.0,"February 24, 1918",,
Estonia,1991-08-20,Tuesday,20.0,Aug,Day of Restoration of Independence[55],August 20,1991.0,Soviet Union[55],Estonian Restoration of Independence,1991.0,"August 20, 1991",,
Eswatini,1968-09-06,Friday,6.0,Sep,Somhlolo Day,September 6,1968.0,United Kingdom,"Named for Ngwane IV, Somhlolo, who reigned from 1815 to 1836 and created a kingdom comparable to the Zulu, the Maroti, or the Pedi.",1968.0,"September 6, 1968",,
Fiji,1970-10-10,Saturday,10.0,Oct,Fiji Day,October 10,1970.0,United Kingdom,Instruments of Independence,1970.0,"October 10, 1970",,
Finland,1917-12-06,Thursday,6.0,Dec,Independence Day,December 6,1917.0,Russian Soviet Federative Socialist Republic,Finnish Declaration of Independence,1917.0,"December 6, 1917",,
Georgia,1918-05-26,Sunday,26.0,May,Independence Day,May 26,1918.0,Russian Soviet Federative Socialist Republic,Day of the proclamation of the Democratic Republic of Georgia in 1918.,1918.0,"May 26, 1918",,
Guatemala,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",,
Guinea-Bissau,1973-09-24,Monday,24.0,Sep,Independence Day,September 24,1973.0,Portugal,Declaration of independence during the Guinea-Bissau War of Independence[56],1973.0,"September 24, 1973",,
Haiti,1804-01-01,Sunday,1.0,Jan,Independence Day,January 1,1804.0,France,Haitian Declaration of Independence,1804.0,"January 1, 1804",,
Honduras,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",,
Iceland,1944-06-17,Saturday,17.0,Jun,Independence Day,June 17,1944.0,Denmark,Effective date of the dissolution of the Danish–Icelandic Act of Union following the 1944 Icelandic constitutional referendum[59],1944.0,"June 17, 1944",,
India,1947-08-15,Friday,15.0,Aug,Independence Day,August 15,1947.0,United Kingdom,Effective date of the Indian Independence Act 1947,1947.0,"August 15, 1947",,
Indonesia,1945-08-17,Friday,17.0,Aug,Independence Day (Hari Kemerdekaan),August 17,1945.0,Netherlands and Japan,Proclamation of Indonesian Independence,1945.0,"August 17, 1945",,
Israel,1948-05-14,Friday,14.0,May,Yom Ha'atzmaut,May 14,1948.0,United Kingdom and the British Mandate for Palestine,"Israeli Declaration of Independence on May 14, 1948 (5 Iyar 5708 in the Hebrew calendar). Yom Ha'atzmaut is celebrated on the Tuesday, Wednesday or Thursday nearest to 5 Iyar, so it occurs between 3 and 6 Iyar each year; this means that the holiday can fall any time between and including April 15 and May 15, according to the Gregorian calendar.",1948.0,"May 14, 1948",,
Jordan,1946-05-25,Saturday,25.0,May,Independence Day,May 25,1946.0,United Kingdom,Ascension of Abdullah I of Jordan to the throne[59],1946.0,"May 25, 1946",,
North Korea,1945-08-15,Wednesday,15.0,Aug,Chogukhaebangŭi nal,August 15,1945.0,Empire of Japan,Founding of the Democratic People's Republic of Korea in 1948. Korean War 1950–1953.,1945.0,"August 15, 1945",,
South Korea,1919-03-01,Saturday,1.0,Mar,Samiljeol,March 1,1919.0,Empire of Japan,"Korean Declaration of Independence in 1919. This day is celebrated as Samiljeol, or Independence Proclamation Day.",1919.0,"March 1, 1919",,
South Korea,1945-08-15,Wednesday,15.0,Aug,Gwangbokjeol,August 15,1945.0,Empire of Japan,Liberation from the Empire of Japan in 1945. See Japanese Occupation of Korea. The Provisional Government of the Republic of Korea was founded in 1919. Korean War 1950–1953.,1945.0,"August 15, 1945",,
Latvia,1918-11-18,Monday,18.0,Nov,Proclamation Day of the Republic of Latvia,November 18,1918.0,Russian Soviet Federative Socialist Republic and German Empire,"Proclamation of independence on November 18, 1918. Latvia was part of Russian Empire prior to World War I, but its territory had been ceded to German Empire in March 1918",1918.0,"November 18, 1918",,
Liberia,1847-07-26,Monday,26.0,Jul,Independence Day,July 26,1847.0,American Colonization Society,Liberian Declaration of Independence,1847.0,"July 26, 1847",,
Lithuania,1918-02-16,Saturday,16.0,Feb,Statehood Restoration Day,February 16,1918.0,Russian Soviet Federative Socialist Republic and German Empire,Act of Independence of Lithuania,1918.0,"February 16, 1918",,
Lithuania,1990-03-11,Sunday,11.0,Mar,Independence Restoration Day,March 11,1990.0,Soviet Union,Act of the Re-Establishment of the State of Lithuania,1990.0,"March 11, 1990",,
Malaysia,1957-08-31,Saturday,31.0,Aug,Hari Merdeka,August 31,1957.0,United Kingdom,Malayan Declaration of Independence,1957.0,"August 31, 1957",,
Mexico,1810-09-16,Sunday,16.0,Sep,Grito de DoloresDía de la Independéncia,September 16,1810.0,Spanish Empire,Start of the Mexican War of Independence,1810.0,"September 16, 1810",,
Micronesia,1986-11-03,Monday,3.0,Nov,Independence Day,November 3,1986.0,United States,Effective date of the Compact of Free Association,1986.0,"November 3, 1986",,
Moldova,1991-08-27,Tuesday,27.0,Aug,Independence Day,August 27,1991.0,Soviet Union,Moldovan Declaration of Independence,1991.0,"August 27, 1991",,
Mongolia,1911-12-29,Friday,29.0,Dec,Independence Day,December 29,1911.0,Qing China[65][66],"Independence declared in 1911 during the Xinhai Revolution. However, Mongolian independence was neither recognized by Qing China nor its successor state, the Republic of China. The Imperial Edict of the Abdication of the Qing Emperor issued in 1912 provided the legal basis for the Republic of China to inherit all Qing territories, including Mongolia.[67][68][69] The Republic of China later established de facto control over Mongolia in 1919. Mongolia subsequently re-asserted its independence in 1921.",1911.0,"December 29, 1911",,
Morocco,1955-11-18,Friday,18.0,Nov,Independence Day,November 18,1955.0,France and Spain,Return of Mohammed V of Morocco from exile,1955.0,"November 18, 1955",,
Mozambique,1975-06-25,Wednesday,25.0,Jun,Independence DayDia da Independência Nacional,June 25,1975.0,Portugal,"In September 1964 the Mozambique Liberation Front (FRELIMO) began an armed guerilla campaign against the Portuguese. FRELIMO took control of Maputo in April 1974 in a coup. Independence for Mozambique was officially declared a year later on June 25, 1975.[70]",1975.0,"June 25, 1975",,
Myanmar,1948-01-04,Sunday,4.0,Jan,Independence Day,January 4,1948.0,United Kingdom,Burmese Declaration of Independence,1948.0,"January 4, 1948",,
Nicaragua,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",,
Niger,1960-08-03,Wednesday,3.0,Aug,Independence Day,August 3,1960.0,France,Effective date of the agreement with France signed on July 11.[18],1960.0,"August 3, 1960",,
Norway,1814-05-17,Tuesday,17.0,May,Constitution Day,May 17,1814.0,Denmark,"National Day: Independence and the Constitution of Norway (May 17, 1814)",1814.0,"May 17, 1814",,
Norway,1905-06-07,Wednesday,7.0,Jun,Independence Day,June 7,1905.0,Sweden,"Union Dissolution and Independence Day (June 7, 1905)",1905.0,"June 7, 1905",,
Pakistan,1947-08-14,Thursday,14.0,Aug,Independence Day (Youm-e-Azadi),August 14,1947.0,United Kingdom,Effective date of the Indian Independence Act 1947;[71] see also: Pakistan Day (March 23),1947.0,"August 14, 1947",,
Palestine,1988-11-15,Tuesday,15.0,Nov,National Day,November 15,1988.0,Israel,Palestinian Declaration of Independence,1988.0,"November 15, 1988",,
Philippines,1898-06-12,Sunday,12.0,Jun,Independence Day (Araw ng Kalayaan or Araw ng Kasarinlan),June 12,1898.0,Spanish Empire,"Philippine Declaration of Independence by Emilio Aguinaldo during the Philippine Revolution against Spain. The Philippines achieved self-rule from the United States on July 4, 1946, and celebrated July 4 as Independence Day until 1964.[75]",1898.0,"June 12, 1898",,
Poland,1918-11-11,Monday,11.0,Nov,Independence Day (Święto Niepodległości),November 11,1918.0,Russian Soviet Federative Socialist Republic and German Empire,"Restoration of Poland's independence in 1918 after 123 years of partitions by Russia, Prussia, and Austria.",1918.0,"November 11, 1918",,
Portugal,1640-12-01,Saturday,1.0,,Restoration of Independence Day,December 1,1640.0,Spanish Empire,"Portugal was officially an autonomous state, but the country was in a personal union with the Spanish crown from 1580 to 1640 – date of the restoration of full Portuguese autonomy from Iberian Union with Spain.[76]",1640.0,"December 1, 1640",,
Qatar,1971-12-18,Saturday,18.0,Dec,Independence from Britain,December 18,1971.0,United Kingdom,The former is celebrated more often,1971.0,"December 18, 1971",,
Romania,1877-05-09,Wednesday,9.0,May,State Independence Day of Romania(Ziua Independenței de Stat a României),May 9,1877.0,Ottoman Empire,"Romania's declaration of its independence and subsequent victory in the Romanian War of Independence, part of the Russo-Turkish War of 1877–1878, against the Ottoman Empire.[77]",1877.0,"May 9, 1877",,
Rwanda,1962-07-01,Sunday,1.0,Jul,Independence Day,July 1,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962.0,"July 1, 1962",,
São Tomé and Príncipe,1975-07-12,Saturday,12.0,Jul,Independence Day,July 12,1975.0,Portugal,"Effective date of the agreement with Portugal reached on November 26, 1974[78][79]",1975.0,"July 12, 1975",,
Singapore,1965-08-09,Monday,9.0,Aug,National Day,August 9,1965.0,Malaysia,Proclamation of Singapore,1965.0,"August 9, 1965",,
Slovenia,1991-06-25,Tuesday,25.0,Jun,Independence and Unity Day,June 25,1991.0,SFR Yugoslavia,"Date of the release of the official results of the independence plebiscite in 1990, confirming secession from Yugoslavia. (Statehood Day) Declared independence from Yugoslavia in 1991.",1991.0,"June 25, 1991",,
Somalia,1960-07-01,Friday,1.0,Jul,Independence Day,July 1,1960.0,Italy and United Kingdom,Union of the Trust Territory of Somalia (former Italian Somaliland) and British Somaliland to form the Somali Republic. Event commemorated annually.,1960.0,"July 1, 1960",,
South Africa,1931-12-11,Friday,11.0,Dec,Not a holiday,December 11,1931.0,United Kingdom,"Independence in 1931 in terms of the Balfour Declaration of 1926 which is not a public holiday. The Union of South Africa formed on May 31, 1910 and the Republic of South Africa declared on May 31, 1961 under minority rule during Apartheid.  Majority rule achieved on April 27, 1994, which is celebrated annually as the Freedom Day.",1931.0,"December 11, 1931",,
Syria,1946-04-17,Wednesday,17.0,Apr,Evacuation Day,April 17,1946.0,France,End of the French Mandate of Syria in 1946.,1946.0,"April 17, 1946",,
Trinidad and Tobago,1962-08-31,Friday,31.0,Aug,Independence Day,August 31,1962.0,United Kingdom,Effective date of the Trinidad and Tobago Independence Act 1962,1962.0,"August 31, 1962",,
Ukraine,1991-08-24,Saturday,24.0,Aug,Independence Day,August 24,1991.0,Soviet Union,Declaration of Independence of Ukraine,1991.0,"August 24, 1991",,
Ukraine,1919-01-22,Wednesday,22.0,Jan,Day of Unity,January 22,1919.0,Russian Soviet Federative Socialist Republic,"Unification of Ukraine on January 22, 1919.[81]",1919.0,"January 22, 1919",,
United States,1776-07-04,Thursday,4.0,Jul,Independence Day or Fourth of July,July 4,1776.0,Kingdom of Great Britain,United States Declaration of Independence,1776.0,"July 4, 1776",,
Uruguay,1825-08-25,Thursday,25.0,Aug,Independence Day,August 25,1825.0,United Provinces of the Rio de la Plata,Declaration of independence and union with the United Provinces of the Rio de la Plata.,1825.0,"August 25, 1825",,
Venezuela,1811-07-05,Friday,5.0,Jul,Independence Day,July 5,1811.0,Spanish Empire,Venezuelan Declaration of Independence,1811.0,"July 5, 1811",,
Vietnam,1945-09-02,Sunday,2.0,Sep,Independence Day,September 2,1945.0,Empire of Japan and France,Proclamation of Independence of the Democratic Republic of Vietnam,1945.0,"September 2, 1945",,
Zambia,1964-10-24,Saturday,24.0,Oct,Independence Day,October 24,1964.0,United Kingdom,Effective date of the Zambia Independence Act 1964,1964.0,"October 24, 1964",,
Zimbabwe,1980-04-18,Friday,18.0,Apr,Independence Day,April 18,1980.0,United Kingdom,Effective date of the Lancaster House Agreement,1980.0,"April 18, 1980",,
